CODE	SUBSTANCE_EN	SUBSTANCE_FR	CAS
"S144"	"1,2-Dichloroethane"	"1,2-Dichloroéthane"	"107-06-2"
"S110"	"1,3-Butadiene"	"1,3-Butadiène"	"106-99-0"
"S126"	"7,12-Dimethylbenz(a)anthracene - PAH"	"7,12-Diméthylbenzo(a)anthracène"	"57-97-6"
"S111"	"7H-Dibenzo(c,g)carbazole - PAH"	"7H-Dibenzo(c,g)carbazole"	"194-59-2"
"S091"	"Acenaphthene - PAH"	"Acénaphtène"	"83-32-9"
"S079"	"Acenaphthylene - PAH"	"Acénaphtylène"	"208-96-8"
"S087"	"Acetaldehyde"	"Acétaldéhyde"	"75-07-0"
"S075"	"Acrylamide"	"Acrylamide"	"79-06-1"
"S147"	"Aluminum (fume or dust only)"	"Aluminium (fumée ou poussière seulement)"	"7429-90-5"
"S055"	"Aluminum (fume or dust)"	"Aluminium (fumée ou poussière seulement)"	"7429-90-5"
"S092"	"Anthracene"	"Anthracène"	"120-12-7"
"S073"	"Antimony (and its compounds)"	"Antimoine (et ses composés)"	"NA - 01"
"S063"	"Arsenic (and its compounds)"	"Arsenic (et ses composés)"	"NA - 02"
"S146"	"Asbestos (friable form only)"	"Amiante (forme friable seulement)"	"1332-21-4"
"S112"	"Asbestos (friable form)"	"Amiante (forme friable seulement)"	"1332-21-4"
"S080"	"Benzene"	"Benzène"	"71-43-2"
"S093"	"Benzo(a)anthracene - PAH"	"Benzo(a)anthracène"	"56-55-3"
"S088"	"Benzo(a)phenanthrene - PAH"	"Benzo(a)phénanthrène"	"218-01-9"
"S094"	"Benzo(a)pyrene - PAH"	"Benzo(a)pyrène"	"50-32-8"
"S095"	"Benzo(b)fluoranthene - PAH"	"Benzo(b)fluoranthène"	"205-99-2"
"S096"	"Benzo(e)pyrene - PAH"	"Benzo(e)pyrène"	"192-97-2"
"S097"	"Benzo(g,h,i)perylene - PAH"	"Benzo(g,h,i)pérylène"	"191-24-2"
"S113"	"Benzo(j)fluoranthene - PAH"	"Benzo(j)fluoranthène"	"205-82-3"
"S098"	"Benzo(k)fluoranthene - PAH"	"Benzo(k)fluoranthène"	"207-08-9"
"S133"	"Benzoyl chloride"	"Chlorure de benzoyle"	"98-88-4"
"S076"	"Benzyl chloride"	"Chlorure de benzyle"	"100-44-7"
"S054"	"Biphenyl"	"Biphényle"	"92-52-4"
"S049"	"Cadmium (and its compounds)"	"Cadmium (et ses composés)"	"NA - 03"
"S081"	"Chlorine"	"Chlore"	"7782-50-5"
"S001"	"Chromium (and its compounds)"	"Chrome (et ses composés)"	"NA - 04"
"S064"	"Cobalt (and its compounds)"	"Cobalt (et ses composés)"	"NA - 05"
"S040"	"Copper (and its compounds)"	"Cuivre (et ses composés)"	"NA - 06"
"S071"	"Cyanides (ionic)"	"Cyanures (ioniques)"	"NA - 07"
"S099"	"Dibenz(a,h)acridine - PAH"	"Dibenzo(a,h)acridine"	"226-36-8"
"S100"	"Dibenz(a,j)acridine - PAH"	"Dibenzo(a,j)acridine"	"224-42-0"
